SALARY,Python,SQL,Microsoft_Excel,Data_Analysis,Machine_Learning,Power_BI,Tableau,Communication
83200.0,1,1,0,1,0,1,1,1
115024.0,0,0,0,0,0,0,0,1
115024.0,0,0,0,0,0,0,0,1
102900.0,0,0,0,0,0,0,0,1
78000.0,0,1,0,0,0,1,0,1
115024.0,0,1,0,0,0,1,0,0
115024.0,0,0,0,0,0,0,0,1
115024.0,0,0,0,0,0,0,0,1
115024.0,0,1,0,0,0,0,1,0
70880.0,0,1,0,1,0,0,1,1
80000.0,0,0,1,1,0,0,0,0
145600.0,1,1,0,1,0,1,0,1
115024.0,1,0,0,1,0,0,0,0
119600.0,0,1,0,0,0,1,1,1
115024.0,1,1,1,1,0,1,1,1
115024.0,1,0,0,1,0,1,0,1
115024.0,1,1,0,1,0,0,0,0
115024.0,0,0,0,1,1,1,1,1
115024.0,0,0,0,0,0,0,0,1
115024.0,1,0,0,1,0,0,0,0
115024.0,1,0,0,1,0,0,0,0
98700.0,1,1,1,1,0,1,1,1
115024.0,0,0,0,0,0,1,1,1
115024.0,1,0,0,1,0,0,0,0
115024.0,0,0,1,1,0,1,1,1
115024.0,0,1,0,1,0,1,1,1
115024.0,0,1,0,0,0,0,0,0
115024.0,0,0,1,1,0,0,0,0
83200.0,0,1,0,1,0,1,1,1
67898.0,0,0,0,0,0,0,0,1
69680.0,0,0,1,1,0,0,1,0
115024.0,0,1,0,1,0,1,1,1
87300.0,0,0,1,0,0,0,0,1
69680.0,0,0,1,1,0,0,1,0
115024.0,0,0,1,1,0,1,0,1
115024.0,0,0,0,1,1,1,0,1
69680.0,0,0,1,1,0,0,1,0
170500.0,0,1,0,1,0,0,0,1
59000.0,0,0,0,0,0,0,0,1
109200.0,1,0,0,0,0,1,1,0
124265.0,0,1,1,1,1,1,0,1
133000.0,1,1,0,1,0,0,0,1
115024.0,0,0,1,1,0,0,0,1
115024.0,0,1,0,1,0,1,1,1
115024.0,0,0,0,0,0,0,0,0
115024.0,0,0,1,1,0,0,0,1
101000.0,0,0,0,1,0,0,0,1
115024.0,1,1,0,1,0,1,1,1
115024.0,0,1,1,0,0,0,1,0
115024.0,0,1,0,0,0,1,1,1
115024.0,0,0,0,1,0,0,0,0
105000.0,0,0,0,1,0,0,0,1
175000.0,1,1,0,1,0,0,0,0
115024.0,0,0,0,0,0,0,0,0
115024.0,1,1,0,0,0,0,0,1
115024.0,0,0,1,0,0,0,0,1
105000.0,1,1,1,1,1,1,1,0
115024.0,0,0,0,0,0,0,0,1
130500.0,1,1,0,1,0,0,0,1
104480.0,0,0,0,0,0,0,0,1
175000.0,1,1,0,1,0,0,0,0
141960.0,1,1,0,1,0,0,0,1
115024.0,0,1,1,1,0,0,0,1
102500.0,0,0,0,0,0,0,1,0
115024.0,1,1,0,1,0,0,0,1
56099.0,0,0,1,0,0,0,0,1
115024.0,1,1,0,1,0,1,1,1
115024.0,1,1,0,1,0,0,0,1
115024.0,0,0,0,0,0,0,0,0
68576.0,1,1,0,0,0,0,0,1
93346.0,1,1,1,1,0,0,0,0
175000.0,1,1,0,1,0,0,0,0
84969.0,0,0,0,1,0,0,1,0
86117.0,0,0,0,1,0,0,0,1
130500.0,1,1,0,1,0,0,0,1
156000.0,1,1,0,1,0,0,0,0
115024.0,0,0,1,1,0,0,0,1
115024.0,1,1,0,1,0,0,0,1
115024.0,0,0,0,1,1,0,0,1
98050.0,0,0,1,0,0,1,0,1
115024.0,0,1,1,0,0,0,0,1
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,1,0,0,0,0
99975.0,0,0,0,0,0,0,0,0
115024.0,0,1,0,1,1,0,0,0
38480.0,0,0,0,0,0,0,0,0
115024.0,0,1,1,1,0,0,0,0
115024.0,0,1,0,0,0,0,0,0
75000.0,1,1,0,1,0,1,1,1
115024.0,0,1,0,1,0,0,0,1
65449.0,0,1,1,0,0,1,0,0
115024.0,0,0,0,1,0,1,0,0
115024.0,0,1,0,1,0,0,0,0
115024.0,0,1,0,1,0,0,0,1
72800.0,0,0,0,1,0,0,0,1
62400.0,0,0,0,0,0,0,0,0
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,1,0,0,0,0
115024.0,1,1,1,0,0,1,1,1
115024.0,0,0,0,1,0,1,0,0
115024.0,0,0,0,0,0,0,0,0
115024.0,0,1,0,1,0,0,0,0
115024.0,0,0,0,0,0,0,0,0
115024.0,0,0,0,1,0,1,0,0
115024.0,0,0,0,1,0,0,1,1
115024.0,0,0,0,1,0,0,0,1
115024.0,0,0,0,1,0,1,0,0
115024.0,0,0,1,1,0,0,0,1
115024.0,0,0,0,1,0,0,0,1
115024.0,0,1,0,1,0,0,1,1
115024.0,0,0,1,0,0,0,0,1
177900.0,0,1,0,0,0,0,0,1
115024.0,0,1,1,1,0,0,0,1
115024.0,0,0,0,1,0,0,0,1
115024.0,0,0,0,1,0,0,0,0
33883.0,0,0,0,0,0,0,0,0
35896.0,0,0,1,0,0,0,0,0
119030.0,0,1,0,1,0,0,1,1
115024.0,0,0,1,0,0,0,0,0
115024.0,0,1,0,1,0,1,0,0
115024.0,0,0,1,0,0,1,0,1
115024.0,0,0,0,0,0,0,0,0
147550.0,0,0,0,1,0,1,1,0
115024.0,0,0,0,1,0,0,0,1
115024.0,0,0,1,0,0,0,0,1
115024.0,0,0,1,0,0,0,0,1
85000.0,0,1,1,0,0,0,0,0
162300.0,0,0,0,0,0,0,0,1
115024.0,0,0,0,0,0,0,0,1
115024.0,0,0,0,1,0,1,1,0
115024.0,0,0,0,0,0,0,0,1
109300.0,1,1,0,1,0,0,1,1
171600.0,0,1,0,1,0,0,0,1
106050.0,1,0,0,1,0,0,0,0
134500.0,1,1,0,1,1,1,0,1
68640.0,0,0,1,1,0,0,0,1
134500.0,1,1,0,1,1,1,0,1
94350.0,0,0,0,0,0,0,0,0
115024.0,1,0,0,1,1,1,1,1
134500.0,1,1,0,1,1,1,0,1
115024.0,1,1,0,1,0,1,1,0
121500.0,0,0,0,0,0,0,0,0
117500.0,1,1,1,1,0,1,1,1
115024.0,0,1,0,1,0,0,0,0
124505.0,0,0,0,0,0,0,0,1
69680.0,0,0,1,1,0,0,1,0
134500.0,1,1,0,1,1,1,0,1
92252.0,0,0,0,1,0,1,0,0
115024.0,0,1,0,1,0,1,1,1
66488.0,0,0,0,0,0,0,0,1
125990.0,0,1,0,0,0,0,0,1
115024.0,0,1,0,1,0,0,0,1
115024.0,0,0,1,1,0,0,1,0
65310.0,0,0,0,1,0,0,0,0
123760.0,0,0,0,0,0,0,0,1
115024.0,0,1,0,0,0,0,0,0
115024.0,0,1,0,0,0,0,0,0
115024.0,0,1,0,1,0,0,0,1
115024.0,1,1,0,1,0,0,1,0
77900.0,0,0,0,1,0,0,0,1
115024.0,0,1,0,1,0,0,0,0
115000.0,0,1,0,1,0,1,1,1
73500.0,0,0,1,1,0,0,1,1
115024.0,0,0,0,0,0,0,0,0
115024.0,0,1,0,1,0,1,0,0
57700.0,0,0,0,1,0,0,0,1
148700.0,0,1,0,0,1,0,0,0
115024.0,0,0,0,0,0,0,0,0
148700.0,0,1,0,0,1,0,0,0
115024.0,0,1,0,1,0,0,1,0
115024.0,1,1,0,1,0,1,1,0
115024.0,0,0,0,0,0,0,0,0
117520.0,0,1,0,1,0,1,0,1
115024.0,1,1,0,1,0,1,1,1
109106.0,1,1,0,1,0,0,0,1
66000.0,0,1,1,0,0,0,1,1
50046.0,0,0,1,1,0,0,0,1
115024.0,0,0,0,0,0,0,0,0
115024.0,0,0,0,0,0,0,0,0
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,1,0,0,0,0,1
93850.0,0,0,0,0,0,0,1,1
115024.0,1,1,0,1,0,1,1,1
115024.0,1,1,0,0,0,0,1,1
115024.0,0,1,0,0,0,1,1,1
115024.0,1,1,0,0,0,0,1,1
115024.0,1,1,0,1,0,1,1,1
115024.0,0,0,0,0,0,0,0,0
115024.0,0,1,0,0,0,0,0,1
93850.0,0,0,0,0,0,0,1,1
93850.0,0,0,0,0,0,0,1,1
115024.0,0,0,1,1,0,1,1,1
160305.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,1,0,0,0,1
115024.0,0,1,0,0,0,0,0,0
115024.0,0,0,0,1,0,0,0,1
115024.0,1,1,0,0,0,0,1,1
115024.0,0,1,0,1,0,0,1,1
75000.0,0,1,0,1,0,0,0,0
115024.0,0,1,0,1,0,1,1,0
115024.0,1,1,0,1,0,0,0,0
115024.0,0,1,0,1,0,1,1,0
86000.0,1,1,0,1,1,1,1,1
190000.0,1,1,1,1,0,1,1,1
69680.0,0,0,0,1,0,0,0,1
115024.0,1,0,0,0,0,1,0,0
115024.0,0,0,1,0,0,0,0,0
115024.0,0,0,0,0,0,0,0,0
115024.0,1,1,0,1,0,1,1,1
115024.0,0,0,0,1,0,1,0,1
115024.0,0,0,0,0,0,0,0,1
101550.0,0,1,1,0,0,0,0,1
115440.0,0,1,0,1,0,0,0,1
115024.0,0,0,0,1,0,1,0,0
28701.0,0,0,0,0,0,0,0,1
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,1,0,0,0,1
104000.0,0,0,0,0,0,0,0,0
112250.0,1,0,0,1,1,0,0,0
150000.0,1,1,0,1,1,0,0,1
115024.0,0,1,0,1,0,1,1,1
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,0,0,0,0,0
85555.0,0,1,0,1,0,1,1,1
96750.0,0,1,1,1,0,0,1,0
115024.0,0,0,0,1,0,0,0,0
44200.0,0,1,1,1,0,0,0,0
49584.0,0,0,0,0,0,0,0,0
115024.0,0,0,0,0,0,0,0,0
115024.0,0,0,0,1,0,0,0,0
98800.0,0,1,0,1,0,0,1,0
115024.0,0,0,1,0,0,0,0,1
115024.0,0,0,0,1,0,0,0,1
115024.0,0,0,1,0,0,0,0,1
165000.0,0,1,0,0,0,0,0,0
192500.0,1,1,0,1,1,0,1,1
115024.0,0,0,1,1,0,0,0,0
115024.0,0,0,0,1,0,0,0,0
61500.0,0,0,0,0,0,0,0,0
115024.0,0,1,0,1,0,1,1,0
115024.0,0,0,0,1,0,1,0,1
115024.0,0,0,0,0,0,0,0,1
115024.0,0,1,0,0,0,0,0,0
97729.0,0,0,1,1,0,0,1,0
85000.0,1,0,0,1,1,0,1,0
115024.0,0,0,0,0,0,0,0,0
115024.0,0,0,0,0,0,0,0,0
115024.0,0,0,0,1,0,1,1,0
115024.0,0,0,0,0,0,0,0,0
93000.0,1,1,0,1,0,0,0,0
142480.0,0,1,0,1,0,0,1,1
115024.0,0,1,1,0,0,0,1,1
115024.0,0,0,1,1,0,1,1,1
115024.0,0,1,1,1,0,0,1,0
75000.0,0,1,1,1,0,0,0,0
115024.0,0,1,1,1,0,0,1,0
170940.0,0,1,0,1,0,1,1,0
115024.0,0,0,1,0,0,0,0,1
115024.0,0,0,0,1,0,0,0,1
115024.0,1,1,0,1,0,0,1,1
70987.0,1,1,0,1,0,0,0,1
115024.0,0,0,1,1,0,1,1,1
115024.0,1,1,0,1,0,0,1,1
115024.0,1,1,0,1,0,0,1,1
115024.0,1,1,0,1,0,0,1,1
115024.0,1,1,0,1,0,0,1,1
115024.0,1,1,0,1,0,0,1,1
115024.0,1,1,0,1,0,0,1,1
115024.0,0,1,0,1,0,1,0,0
115024.0,0,1,1,1,0,0,1,0
115024.0,1,1,0,1,0,1,1,1
115024.0,0,1,1,1,0,0,1,0
93868.0,0,0,0,1,0,1,1,1
115024.0,0,1,0,1,0,0,0,1
115024.0,0,0,0,0,0,0,0,0
113800.0,0,0,0,1,0,0,1,1
96100.0,0,0,0,0,1,0,0,1
93868.0,0,0,0,1,0,1,1,1
115024.0,0,1,0,1,0,0,0,0
156376.0,1,1,0,1,0,1,1,1
115250.0,0,1,0,1,0,0,1,1
115024.0,0,0,1,0,0,0,0,0
85000.0,0,1,1,0,0,0,0,0
96100.0,0,0,0,0,1,0,0,1
96100.0,0,0,0,0,1,0,0,1
115024.0,0,1,0,0,0,0,0,1
111200.0,0,1,0,1,0,1,1,1
93868.0,0,0,0,1,0,1,1,1
115024.0,1,1,1,1,0,1,0,1
76960.0,0,0,0,1,0,0,1,0
115024.0,0,1,0,1,0,0,1,1
115024.0,1,0,0,1,0,0,1,1
115024.0,0,1,1,1,0,0,0,0
101088.0,0,0,1,0,0,0,0,1
79040.0,0,0,0,0,0,0,0,0
115024.0,0,0,1,1,0,1,0,0
115024.0,0,1,1,1,0,0,0,0
115024.0,0,0,1,1,0,0,0,1
68845.0,1,1,0,0,1,1,1,1
115024.0,1,1,0,1,0,1,1,1
115024.0,0,1,1,1,0,0,0,0
115024.0,0,0,0,0,0,0,0,0
81195.0,0,1,1,1,0,1,0,0
115024.0,0,0,0,1,0,0,1,1
115024.0,0,1,0,1,1,0,0,0
115024.0,0,0,1,1,0,0,0,1
115024.0,0,0,1,1,0,0,0,1
94000.0,1,1,0,1,0,0,0,1
115024.0,0,1,1,1,0,0,0,0
115024.0,1,1,1,1,0,0,0,0
88400.0,0,1,0,1,1,0,0,1
154960.0,0,0,0,1,0,0,0,1
115024.0,0,0,0,0,0,0,0,1
173929.0,0,0,0,1,1,0,0,1
115024.0,0,0,0,1,0,0,0,0
72800.0,0,0,1,1,0,0,1,1
115024.0,1,1,0,1,0,0,0,1
129900.0,0,0,0,0,0,0,0,1
93600.0,1,1,0,1,0,1,1,0
185500.0,0,0,0,0,0,0,0,0
92500.0,1,1,1,1,0,1,1,1
115024.0,0,1,0,1,0,0,0,0
92500.0,1,1,1,1,0,1,1,1
115024.0,0,0,0,0,0,0,0,0
123000.0,1,1,0,1,0,0,1,0
115024.0,0,0,0,0,0,0,0,1
115024.0,1,1,0,1,0,0,1,0
115000.0,1,1,0,1,0,0,1,1
51500.0,0,0,0,1,0,0,0,1
55277.0,0,0,1,0,0,0,0,0
115024.0,1,1,1,1,1,1,1,1
150800.0,0,1,0,1,0,0,0,0
67589.0,0,0,0,0,0,0,0,1
115024.0,0,1,1,1,0,1,1,1
176100.0,1,1,0,0,1,0,1,1
115024.0,0,0,1,0,0,0,0,0
115024.0,0,0,0,1,0,0,1,0
57500.0,0,0,0,0,0,0,0,0
115024.0,0,0,0,1,0,1,0,0
115024.0,0,1,0,0,0,0,0,1
115024.0,0,0,0,0,0,0,0,0
115024.0,0,0,0,1,0,0,0,1
115024.0,0,0,0,0,0,0,0,0
93100.0,0,1,1,1,0,0,1,0
115024.0,0,0,1,1,0,0,0,1
93100.0,0,1,1,1,0,0,1,0
115024.0,0,0,0,0,0,0,0,0
115024.0,0,0,0,1,0,0,0,0
96741.0,0,0,0,1,0,0,0,1
93100.0,0,1,1,1,0,0,1,0
99008.0,0,1,1,1,0,0,0,0
135300.0,1,0,0,1,1,0,1,1
115024.0,0,0,1,1,0,0,0,1
132080.0,1,1,0,1,0,0,1,0
115024.0,0,0,1,0,0,0,0,1
95800.0,0,0,0,1,0,0,0,1
115024.0,0,0,0,0,0,0,0,1
80000.0,0,1,0,1,0,1,0,1
115024.0,0,0,1,0,0,0,0,1
89700.0,0,0,0,1,0,0,0,1
100464.0,0,0,1,0,0,0,0,1
115024.0,0,0,0,0,0,0,0,0
115024.0,0,0,0,0,0,0,0,0
165895.0,0,1,0,1,0,0,0,1
130600.0,0,1,0,1,0,1,0,1
92019.0,0,1,0,1,0,0,0,0
115024.0,0,0,0,0,0,0,0,1
115024.0,1,1,0,1,0,1,0,0
115024.0,0,0,0,1,0,0,0,1
115024.0,0,0,1,1,0,0,1,1
115024.0,0,0,0,0,0,0,0,1
69813.0,1,1,0,1,0,0,0,1
115024.0,0,0,0,0,0,0,0,1
209547.0,0,1,0,1,0,0,0,1
59000.0,0,1,0,1,0,1,1,1
115024.0,1,1,0,1,1,1,1,1
115024.0,0,0,0,0,0,0,0,1
115024.0,1,1,1,1,1,1,1,1
115024.0,1,1,0,1,0,1,1,1
115024.0,0,0,0,0,0,0,0,1
160050.0,1,1,0,1,1,0,0,1
115024.0,0,1,0,1,0,1,0,1
115024.0,0,0,0,0,0,0,0,1
209547.0,0,1,0,1,0,0,0,1
98650.0,0,0,1,1,0,0,0,1
115024.0,0,0,0,0,0,0,0,1
171600.0,0,1,0,1,0,0,0,0
67600.0,0,1,0,1,0,0,0,1
119500.0,1,1,0,1,0,1,1,0
78588.0,1,1,0,1,0,1,1,1
115024.0,1,1,0,0,0,0,0,1
260992.0,1,1,0,1,0,0,0,1
115024.0,0,0,0,0,0,0,0,1
115024.0,0,0,0,1,0,1,1,1
95000.0,0,1,0,1,0,0,0,1
115024.0,0,0,0,0,0,0,0,1
115024.0,0,0,0,0,0,0,0,1
115024.0,1,1,0,1,1,0,0,1
209547.0,0,1,0,1,0,0,0,1
135200.0,0,0,0,1,0,1,1,0
115024.0,0,1,0,1,0,1,1,0
119125.0,1,1,0,1,0,0,0,1
54500.0,0,0,0,0,0,0,0,1
115024.0,1,1,0,0,0,1,1,1
115024.0,1,1,0,1,0,0,0,1
123000.0,0,0,1,0,0,0,0,1
115024.0,0,0,0,1,0,0,0,1
57200.0,0,1,0,1,0,1,0,1
100500.0,1,1,0,1,0,0,1,0
115024.0,0,1,0,0,0,0,0,0
85555.0,1,1,0,1,0,0,1,1
115024.0,1,1,1,1,1,0,1,1
115024.0,1,1,0,0,0,1,1,1
115024.0,1,1,0,1,0,0,1,1
115024.0,0,0,0,1,0,0,0,0
115024.0,1,1,1,1,0,0,0,0
115024.0,1,1,0,1,1,1,0,1
115024.0,0,0,0,0,0,0,0,1
84300.0,0,0,0,1,0,0,0,0
72500.0,0,1,0,1,0,0,0,0
80000.0,0,0,1,1,0,0,0,0
115024.0,0,0,1,0,0,0,0,0
115024.0,0,0,0,1,0,0,0,1
115024.0,0,0,0,1,0,0,0,1
115024.0,1,1,0,1,1,1,1,1
115024.0,0,0,0,0,0,0,0,1
115024.0,1,1,0,1,0,0,0,0
115024.0,1,1,0,1,0,0,1,1
115024.0,1,1,0,0,0,0,1,1
125990.0,0,1,0,1,0,0,1,1
115024.0,1,1,0,0,0,0,1,1
115024.0,0,0,0,1,0,0,0,0
76750.0,0,0,0,0,0,0,0,0
115024.0,1,1,0,0,0,0,1,1
115024.0,1,1,0,0,0,0,1,1
115024.0,1,1,0,0,0,0,1,1
115024.0,0,1,0,0,0,0,0,0
115024.0,1,1,0,1,0,0,0,0
115024.0,1,1,1,1,0,1,0,1
115024.0,0,0,0,1,0,0,0,0
109200.0,0,0,0,1,0,0,0,0
115024.0,0,1,0,1,0,1,1,0
50939.0,0,0,0,0,0,0,0,0
150000.0,1,1,0,1,0,0,1,0
113472.0,0,1,0,1,0,0,0,0
163600.0,0,0,0,0,0,0,0,1
115024.0,0,1,0,0,0,0,0,0
90480.0,0,1,0,0,0,1,0,0
156376.0,1,1,1,1,0,1,1,1
115024.0,1,1,0,1,0,1,0,1
115024.0,1,1,0,1,1,1,1,1
115024.0,0,0,0,1,0,0,0,0
35896.0,0,0,1,0,0,0,0,1
127250.0,0,0,0,1,1,0,1,1
115024.0,1,0,1,1,0,0,0,1
93868.0,0,0,0,1,0,1,1,1
93868.0,0,0,0,1,0,1,1,1
115024.0,0,1,0,1,0,0,1,1
93868.0,0,0,0,1,0,1,1,1
113800.0,0,0,0,1,0,0,1,1
111370.0,1,1,0,1,0,1,1,0
115024.0,1,0,0,1,0,1,0,0
115024.0,1,1,0,1,1,1,1,1
115024.0,1,1,0,1,1,1,1,1
243500.0,1,1,0,1,0,0,0,1
115024.0,1,1,0,1,1,1,1,1
220900.0,0,1,1,0,0,0,0,1
243500.0,1,1,0,1,0,0,0,1
115024.0,1,1,0,1,1,1,1,1
111280.0,0,0,0,1,0,0,0,0
115024.0,0,1,0,1,0,0,0,1
115024.0,0,1,0,1,0,0,0,1
115024.0,1,0,1,1,0,0,1,1
131689.0,1,1,0,1,0,1,1,0
115024.0,0,1,1,1,0,0,0,0
54500.0,0,0,0,0,0,0,0,1
204500.0,0,0,1,0,0,0,1,1
61000.0,0,0,0,1,0,0,0,1
70987.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,1,0,0,0,0
115024.0,1,1,0,1,0,1,1,0
94640.0,1,1,0,1,0,1,0,0
115024.0,0,1,0,1,1,0,1,1
115024.0,0,0,0,0,0,0,0,0
115024.0,0,0,0,0,0,0,0,0
82500.0,0,0,0,1,0,0,0,1
123850.0,1,1,0,1,0,1,1,0
102000.0,0,1,0,1,0,1,1,0
115024.0,1,0,0,1,1,1,1,1
123850.0,1,1,0,1,0,1,1,0
96100.0,0,0,0,0,1,0,0,1
130055.0,0,0,0,0,0,0,0,0
115024.0,0,1,0,0,0,0,0,0
71150.0,0,0,1,0,0,0,0,1
115024.0,0,0,0,0,0,0,0,0
115024.0,1,1,0,1,1,0,0,1
115024.0,0,0,0,0,0,0,0,0
115024.0,0,1,0,1,1,0,0,0
115024.0,0,0,0,1,0,0,0,0
115024.0,0,1,1,1,0,0,0,1
115024.0,1,1,0,1,1,0,1,0
104884.0,1,1,0,1,0,0,1,1
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,0,0,0,0,0
189400.0,1,0,0,1,1,0,1,0
115024.0,0,1,0,0,0,0,0,0
115024.0,0,0,0,1,1,0,0,1
53500.0,0,1,0,1,0,0,1,1
161321.0,0,0,0,0,0,0,0,1
115024.0,1,1,0,1,1,0,1,1
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,0,0,0,0,0
54080.0,0,0,0,1,0,1,0,1
115024.0,1,1,0,1,0,1,1,1
115024.0,0,0,0,1,0,0,0,1
115024.0,0,1,0,1,0,0,0,0
115024.0,0,0,0,0,0,0,0,1
115024.0,0,0,0,0,0,0,0,1
136793.0,0,0,1,0,0,0,1,1
115024.0,0,1,0,1,0,1,1,1
43680.0,0,0,0,0,0,0,0,0
115024.0,1,1,1,1,0,0,0,1
45000.0,0,0,0,0,0,0,0,1
115024.0,1,1,1,0,0,1,1,1
115024.0,1,1,0,1,0,1,1,1
137000.0,1,1,0,1,0,1,1,0
115024.0,0,0,0,1,0,0,0,1
115024.0,1,1,1,1,0,1,1,0
86091.0,1,1,0,1,0,0,0,0
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,0,0,0,0,0
118165.0,0,0,0,1,0,0,0,0
115024.0,1,1,0,1,1,0,0,0
124497.0,0,0,0,1,0,0,0,0
87216.0,0,0,0,1,0,0,0,1
115024.0,1,1,0,1,0,1,1,0
85840.0,0,0,0,1,0,0,0,1
115500.0,0,0,0,0,0,0,0,1
78000.0,0,0,0,0,0,1,0,0
115024.0,0,0,0,0,0,0,0,0
64478.0,0,0,1,1,0,0,0,1
115024.0,1,1,1,1,0,1,1,1
115024.0,0,1,1,1,0,0,1,1
58198.0,0,0,0,1,0,0,0,0
115024.0,0,0,0,1,0,0,0,0
115024.0,0,1,1,0,0,0,1,1
115024.0,1,1,0,0,1,1,1,1
96711.0,1,1,0,1,0,0,0,0
133650.0,0,0,0,0,0,0,0,1
