Skill,Demand_Count,Average_Salary
Data Migration,1776,120382.90033783784
Ad Hoc Reporting,1774,103279.8444193912
"Teamwork
",1772,114105.05304740406
Linux,1767,124137.17883418222
Programming Languages,1766,118443.66024915062
Management Information Systems,1762,121471.54880817253
Amazon Redshift,1760,123377.75852272728
Data Reporting,1748,102187.01659038902
Collaboration,1744,121817.80160550459
"Operations
",1742,117081.88748564868
Acceptance Testing,1733,115255.76687824582
Databricks,1714,120008.10443407235
Risk Management,1714,123260.36581096849
Business Development,1713,133341.49503794513
Scheduling,1705,112913.43343108504
Unix,1663,124887.72459410703
Accountability,1656,116493.68538647343
Google Cloud Platform (GCP),1645,124196.72097264438
"
  Enterprise Resource Planning",1645,115672.00121580547
"
  Workflow Management",1639,108687.45454545454
Git (Version Control System),1635,118211.53088685016
C# (Programming Language),1624,117367.29125615764
Product Management,1622,128436.9617755857
Pivot Tables And Charts,1620,98581.91172839506
"Data Analysis
",1589,112995.99433606041
Accounts Payable,1581,122119.2258064516
HyperText Markup Language (HTML),1576,117279.14340101523
Project Implementation,1567,123347.14039566049
Technological Change,1562,128943.56658130602
"
  SAP Functional",1559,125163.4201411161
Gap Analysis,1559,122257.99871712636
Microservices,1559,133824.53944836435
Warehousing,1548,116222.03165374677
Systems Analysis,1534,118282.20273794002
Kubernetes,1532,134580.07180156658
Professionalism,1532,106974.68668407311
Purchasing,1529,119168.22302158273
SPSS (Statistical Software),1511,101806.42951687625
Data Extraction,1506,111341.54316069058
Requirements Analysis,1502,120326.0965379494
"
  SAP Applications",1492,121478.96112600536
Business Metrics,1492,117632.84048257372
Systems Integration,1488,122731.53965053764
Operational Data Store,1485,115118.69696969698
Database Management Systems,1466,108775.18963165075
Business Valuation,1461,127158.45859000685
"
  Microsoft Access",1460,103636.99589041095
Risk Analysis,1458,121962.69478737997
Platform As A Service (PaaS),1453,131024.6882312457
Apache Kafka,1448,136350.0614640884
Technical Design,1446,122720.01106500691
Project Planning,1445,119286.3633217993
"
  Forecasting",1432,120517.9972067039
Technical Documentation,1417,116492.11503175723
Performance Management,1416,120936.53672316384
Algorithms,1397,115670.43736578383
Strategic Decision Making,1396,116842.4570200573
Report Writing,1389,104754.7019438445
Data Cleansing,1382,108649.09479015919
Software Engineering,1380,136131.04855072463
Self Service Technologies,1371,113420.15244347192
Accounts Receivable,1367,121834.63789319678
Information Technology Infrastructure Library,1359,122959.31493745401
Github,1355,116578.6073800738
Middleware,1343,126683.38719285182
Teamwork,1343,114233.78555472822
Cloud Services,1341,134464.18717375092
Industry Standards,1337,124258.39865370232
Order To Cash Process,1335,129333.14756554307
CI/CD,1328,132407.3328313253
Technical Leadership,1327,133655.6254709872
Quality Control,1323,107727.45275888134
SAP FI/CO,1322,119946.24583963692
Request For Proposal,1316,144235.65577507598
Workday (Software),1314,118441.6902587519
NextGen Enterprise Practice Management,1314,131529.62252663623
JSON,1312,118032.11509146342
Performance Metric,1309,116541.68372803667
Salesforce,1306,120784.41041347626
Data Processing,1305,114574.88045977011
Operational Efficiency,1298,114782.19337442219
Systems Architecture,1296,128982.5324074074
"Collaboration
",1296,116708.67592592593
Docker (Software),1294,135160.99072642968
Order Management,1291,122409.83810999226
Negotiation,1289,135111.24515128008
Operating Systems,1282,118672.49063962558
Dataflow,1260,118667.70555555556
"
  Effective Communication",1256,113106.28105095541
"Mathematics
",1255,111842.4749003984
"Information Technology Architecture
",1251,133146.034372502
Statistical Modeling,1237,111125.70412287793
Data Dictionary,1233,113381.80535279805
Waterfall Methodology,1233,136818.3195458232
SAP S/4HANA,1231,121863.4492282697
Process Design,1229,132751.6834825061
Systems Design,1227,122858.19722901385
Predictive Modeling,1227,113559.1140994295
Templates,1222,113637.06219312602
Financial Data,1219,115394.71287940936
"
  Analytical Skills",1219,113228.59474979491
NoSQL,1217,129118.69843878389
General Ledger,1215,120218.21399176955
Cascading Style Sheets (CSS),1206,117196.3175787728
Healthcare Industry Knowledge,1196,114040.84113712375
Warehouse Management Systems,1191,127223.69857262804
New Product Development,1191,119547.48362720403
Data Strategy,1187,127124.33361415332
Atlassian Confluence,1184,115937.43158783784
Safety Assurance,1180,114903.65508474577
Transact-SQL,1174,110665.98126064736
Generative Artificial Intelligence,1171,135811.82835183604
Prototyping,1171,129776.64816396243
Vlookups,1169,96268.15397775877
"Business Administration
",1164,109999.89261168386
"
  SAP Applications
",1163,120706.73774720551
Computer Engineering,1163,129554.03955288048
Database Design,1160,114110.75431034483
"
  Dashboard",1152,114380.26041666667
Development Testing,1150,129150.3147826087
User Experience (UX),1148,118288.43205574913
Unstructured Data,1148,134252.3519163763
Architectural Design,1144,131192.8208041958
"
  Microsoft Excel",1143,102610.8687664042
Advocacy,1142,127367.39667250437
"
  Databricks",1141,123638.80718667836
Invoicing,1141,111259.21735319895
Single Sign-On (SSO),1136,118558.91813380281
Azure Data Factory,1129,120244.08503100088
Business Systems,1127,120753.00798580302
Reconciliation,1116,115368.94265232974
Oracle Databases,1114,120250.73339317774
Information Management,1113,116814.17340521114
Data Entry,1111,97814.92799279928
SAP HANA,1108,120171.78610108304
Inventory Management,1106,120109.47830018082
"JavaScript (Programming Language)
",1104,119597.02717391304
"Quality Assurance
",1100,114950.63454545455
Standard Operating Procedure,1098,110590.36156648451
Statistical Software,1097,101819.97721057429
"Data Security
",1096,117708.3193430657
System Configuration,1093,121705.76761207686
"Accounting
",1086,114877.32596685083
Adaptability,1085,117268.1732718894
Advanced Mathematics,1080,114734.23888888888
Functional Design,1080,130726.94351851851
"PeopleSoft Applications
",1077,131228.32497678738
Financial Statements,1068,116420.58895131086
Microsoft Teams,1067,122832.26241799438
Performance Tuning,1067,120481.90627928772
Relational Database Management Systems,1066,124856.6679174484
"SAP Material Management
",1064,121542.18796992481
QlikView (Data Analytics Software),1064,102256.45864661653
"Verbal Communication Skills
",1059,112012.41926345609
Collibra (Software),1055,124659.91279620853
Web Services,1053,125040.09211775879
SAP SuccessFactors,1050,130348.37809523809
Data Profiling,1038,116330.83044315992
Analytical Thinking,1037,114309.4918032787
"
  Microsoft Azure",1031,129484.94471387003
Collections,1028,141864.6780155642
Excel Macros,1027,108447.47322297955
SAP Material Management,1023,127975.68132942327
Unit Testing,1023,121938.32355816227
Regulatory Compliance,1020,122352.78725490197
Data Validation,1019,108563.50932286556
Data Mapping,1018,118149.09724950884
Technology Strategies,1013,142541.21125370188
Scala (Programming Language),1009,124095.63230921705
Quick Learning,1009,111432.84935579782
Relationship Building,1009,126427.2200198216
Erwin (Data Modeling Software),1005,123411.70547263682
"
  Debugging",1004,117802.55079681275
"
  Reliability",1004,129974.70617529881
Operations Research,1002,118720.76646706587
"Data Visualization
",994,108575.42655935614
Document-Oriented Databases,992,116588.13004032258
Asset Management,990,121498.76363636364
System Testing,989,123125.84732052579
PostgreSQL,987,118271.46301925025
Apache Maven,986,132155.9401622718
"Communication
",982,117695.22912423626
Quality Management,980,120357.5142857143
System Administration,980,122375.08571428571
Database Management,979,108825.72216547497
PySpark,977,119842.73183213921
Cloud Technologies,977,130537.11054247698
"Amazon Web Services
",974,131762.18891170432
Service-Oriented Architecture,965,131227.75647668395
Cloud Computing,965,130531.08393782383
"
  Mathematics",963,108249.2326064382
"
  MuleSoft",960,125200.0
Software Development Life Cycle,951,122839.91587802314
Teradata SQL,950,115232.19157894737
"
  Gap Analysis",948,134714.6540084388
Consolidation,945,125048.52804232805
Business To Business,944,123455.60699152542
"Computer Literacy
",941,102135.77151965993
Google Analytics,929,111985.04628632938
Data Transformation,926,129355.83153347732
C++ (Programming Language),925,128772.8227027027
Creativity,923,121621.56338028169
Human Capital,922,143566.73752711498
User Requirements Documents,914,116670.01641137856
MySQL,907,114076.86108048512
Integration Testing,904,124267.0110619469
Financial Analysis,904,110494.11946902655
"
  Order Management Systems",903,122900.29900332226
Predictive Analytics,901,116492.10432852386
Willingness To Learn,900,109705.71
Applications Architecture,899,139409.24360400444
"
  Procurement",898,122047.42650334076
Stored Procedure,896,112929.12946428571
React.js (Javascript Library),895,132733.2659217877
SAP EWM,892,134537.0807174888
"
  Infrastructure As A Service (IaaS)",892,134564.07959641254
"SAP Configuration
",892,122573.93161434977
Strong Work Ethic,891,110967.69809203142
Statistical Methods,890,111621.82134831461
R (Programming Language),889,109946.89088863893
Intellectual Curiosity,887,116113.44870349493
"
  Microsoft Office",886,101150.4051918736
Stakeholder Management,886,128252.25620767495
Usability,882,120491.90929705216
Investments,880,124510.69545454545
"
  SQL (Programming Language)",879,108541.89874857794
"
  Oracle E-Business Suite",878,122608.48291571754
Information Privacy,875,123520.70971428571
Call Center Experience,874,108506.79519450801
Ad Hoc Analysis,862,109024.43503480278
Talent Management,857,125997.96849474912
Apache Hive,856,119605.10747663552
Microsoft Power Automate,854,110353.90632318502
SAP Business Suite,854,118982.28922716627
Electronic Data Interchange,853,114342.64126611958
IBM DB2,851,118738.63337250294
"
  Prioritization",847,115757.59149940968
IT Service Management,842,118432.50237529691
Terraform,839,133242.74374255067
"
  Oracle Cloud
",835,127134.41437125749
On Prem,834,136274.17865707434
Oracle SQL Developer,830,116130.52530120482
"Risk Management
",830,115836.87590361446
Microsoft Power Platform,829,113319.89264173704
Triage,828,143290.1231884058
"
  Microsoft Word",826,104390.59564164649
MicroStrategy,825,113781.34545454546
Full Life Cycle Implementation,819,130595.115995116
"
  Microsoft Office
",815,103251.83190184049
Tooling,815,127731.38282208588
"Leadership
",815,128671.17791411043
Digital Transformation,814,132473.24201474202
"
  ServiceNow",812,119508.53078817733
Management Consulting,812,123495.4408866995
Azure DevOps,809,119845.57725587145
Business Architecture,809,145625.17058096416
"
  NoSQL",804,126096.92288557214
Investigation,804,107419.53233830846
Team Leadership,797,132380.68381430363
Kronos (Timekeeping Software),796,114521.1972361809
Analytic Applications,796,111731.05150753769
"Team Leadership
",792,124158.4558080808
Program Management,792,116809.7196969697
Complex Problem Solving,782,116520.79539641943
Software Documentation,781,114233.36491677337
"
  Programming Languages",779,116249.67265725289
Pharmaceuticals,779,123581.92939666238
Strategic Thinking,777,119011.5945945946
Data Lineage,776,119583.03608247422
SAP Security,774,120054.27519379844
Cloud Applications,773,129474.99094437258
Software Design Patterns,773,140001.6106080207
Business Case,767,130329.78487614081
Change Requests,764,117314.25261780104
"SAP Business Suite
",762,120780.37664041994
Azure Synapse Analytics,760,119746.80526315789
Business Software,760,119057.24342105263
Cloud Computing Architecture,756,135690.38095238095
Financial Management,755,118684.62119205297
Google Workspace,754,114191.55437665782
"Oracle Fusion Middleware
",754,118912.92042440319
Production Planning,752,123589.09042553192
Security Requirements Analysis,749,121285.06408544726
Proactivity,748,112321.86631016043
Jenkins,744,125573.98655913978
"Google Cloud Platform (GCP)
",744,132462.06720430107
Fixed Asset,744,119713.57661290323
ArcGIS (GIS Software),742,107101.13746630728
"Auditing
",742,119729.89083557951
Training And Development,742,133789.7115902965
Procure-To-Pay (PTP),737,135930.28358208956
"
  Application Programming Interface (API)",736,125172.35054347826
Relationship Management,735,117504.15510204082
Business Process Reengineering,733,115010.24693042292
Apache Airflow,727,127093.11691884456
Microsoft Project,726,114027.26170798898
SAP Production Planning,726,135891.59641873278
Market Trend,726,122583.71900826447
Health Insurance Portability And Accountability Act (HIPAA) Compliance,726,120908.84297520661
Warehouse Management,723,120580.40110650069
Domain Knowledge,721,125288.12760055478
SAP Basis,719,118760.68150208623
IT Security Architecture,718,127512.11838440111
"
  Software Systems",717,116863.47977684798
Business Objects Framework,713,112248.6732117812
C (Programming Language),712,120744.76404494382
"Programming Tools
",706,122802.03966005666
User Story,706,118832.12039660057
Node.js (Javascript Library),705,137309.7205673759
"SAP Production Planning
",705,135593.56879432625
Customer Data Management,704,112083.15056818182
Adobe Analytics,702,118054.94586894587
Office Equipment,702,109600.2094017094
Banking,701,127171.60057061342
Organizational Strategy,700,109839.07285714286
Oracle Hyperion Financial Management,699,152852.08297567954
"
  Auditing",695,104589.71654676259
Corporate Finance,693,114197.1038961039
Portfolio Management,693,131913.20923520924
"Oracle Human Capital Management (HCM)
",692,128693.29046242774
Database Administration,691,117121.36758321273
Scenario Testing,688,120333.55959302325
Amazon S3,687,127590.34206695779
Business Planning,686,120176.92419825072
Database Systems,684,106121.40643274854
Sales Prospecting,682,121049.53812316715
Systems Engineering,682,129017.58944281525
Operational Excellence,680,125045.76323529411
Version Control,675,119266.0488888889
Knowledge Transfer,675,121971.22518518519
PeopleSoft Applications,674,118797.67359050445
Customer Support,674,103802.94510385756
Resilience,672,124202.66815476191
Data Infrastructure,670,148513.0776119403
"Power BI
",667,109296.84857571214
Pandas (Python Package),666,120099.75975975976
Active Directory,664,116340.19126506025
"Willingness To Learn
",664,110270.24397590362
Workforce Management,662,114060.72054380664
Risk Mitigation,662,121605.43806646526
Vulnerability,658,119732.48024316109
Quantitative Analysis,657,112017.52663622527
Technology Roadmaps,654,137573.46788990826
Governance Risk Management And Compliance,654,119806.90672782874
Cash Management,653,126209.53139356815
"
  SAP Sales And Distribution",652,120293.8190184049
"Curiosity
",652,115248.83128834356
Cost Management,651,131340.910906298
Geographic Information Systems,650,114950.94923076923
System Implementation,650,130578.05076923077
Project Scoping,647,118442.17310664606
"Team Oriented
",647,114300.7202472952
Collaborative Software,645,117870.42635658915
Data Security,644,119868.31677018634
Business Continuity Planning,643,127987.77916018662
"Detail Oriented
",642,109502.13707165109
Selling Techniques,640,131854.9296875
Web Applications,637,135191.76138147566
Calculations,636,125986.1965408805
Query Languages,632,111798.84968354431
Metadata Management,631,123142.81933438986
Domo,630,106790.36984126984
Advising,630,129520.00793650794
Netsuite,629,124178.06200317966
Data Analysis Expressions (DAX),629,110210.56756756757
Resource Management,628,128948.81369426752
Sarbanes-Oxley Act (SOX) Compliance,627,122139.41626794258
"Hybris
",626,130290.47603833866
Word Processing,625,103600.5184
Identity And Access Management,624,125035.28525641025
Application Security,623,125264.91011235955
"Software Development Life Cycle
",623,123690.32905296951
Software Systems,622,119414.38263665595
Product Knowledge,621,116862.19323671497
Performance Improvement,618,119936.74110032362
Positivity,618,112767.8495145631
Business Transformation,617,128637.10696920584
"
  Apache Hadoop",616,118665.08279220779
Performance Reporting,616,111479.09577922078
Debugging,615,117948.87642276422
"
  Communication
",615,114598.47154471544
Market Research,614,107201.46416938111
Change Control,612,119745.41176470589
Financial Modeling,609,122954.52216748768
"
  Curiosity",608,111768.29769736843
"Peer-To-Peer
",605,124386.92396694215
"End-User Training And Support
",602,114283.79568106313
"Security Policies
",602,115791.9219269103
Business Process Modeling,601,123023.17803660566
Programming Tools,599,116523.1101836394
Access Controls,598,117724.97157190635
Internal Controls,596,116730.51510067114
MATLAB,595,114374.88235294117
Customer Success Management,595,129277.93781512605
Data Conversion,593,118810.2563237774
"
  Leadership",593,124096.33558178753
"
  Stata",592,98201.19932432432
Financial Accounting,592,118188.76013513513
"Decision Making
",592,119045.35135135135
Supply Chain Planning,590,123746.43389830508
Oracle Hyperion,589,143427.67741935485
"
  Business Systems",588,117723.03401360544
Angular (Web Framework),587,123141.50085178876
Data Storage,587,119309.46848381602
IT Infrastructure,587,123458.56047700171
SAP BusinessObjects,586,126744.95392491468
"
  Management
",586,112892.6109215017
Internal Auditing,585,114351.46324786324
"Information Privacy
",584,118172.47089041096
Authentications,582,121202.46391752578
Value Propositions,581,125219.43373493975
Continuous Integration,578,129667.69377162629
"
  Influencing Skills",577,156240.82149046793
Shell Script,575,130635.44695652174
"Scalability
",574,126025.84843205575
Financial Planning,572,132860.4458041958
Proposal Development,566,151754.1961130742
Demonstration Skills,566,126484.87809187279
Microsoft Visual Studio,565,112403.0831858407
Service-Level Agreement,565,116033.8
"
  Consulting
",565,134141.4796460177
Effective Communication,562,115196.34519572953
Medicaid,562,96584.96441281139
Operations Management,557,113683.52064631956
"
  Cloud Computing",557,122459.6355475763
Business Systems Analysis,556,117510.97841726619
"
  MySQL",553,119555.96925858951
Empathy,550,114221.9490909091
SQL Server Analysis Services,548,111353.68248175182
Mergers And Acquisitions,548,120400.7098540146
"Coordinating
",548,115645.07846715329
Trend Analysis,546,112449.32417582418
Windows PowerShell,544,115443.13235294117
"
  Advanced Business Application Programming (ABAP)",544,120266.04779411765
Visual Basic (Programming Language),544,110149.33272058824
"Program Management
",544,121467.70772058824
Business Process Improvement,543,114400.394106814
Information Gathering,543,110195.84714548803
Microsoft Office 365,540,110365.05555555556
Financial Systems,540,118235.71111111112
OneStream (CPM Software),539,119119.62708719852
Meeting Facilitation,536,115695.85634328358
Materials Management,536,118551.32089552238
OAuth,535,125241.9738317757
Product Software Implementation Method,535,115057.08037383178
DoDAF,534,130900.02621722847
Microsoft 365,534,118937.47940074907
Organizational Leadership,533,119693.26454033771
Organizational Change Management,532,122157.72932330827
Managed Care,529,91389.36105860113
Process Optimization,528,114332.44696969698
Anaplan,527,125396.74193548386
Code Review,527,125880.37950664137
Product Lifecycle Management,527,119598.57305502846
"
  Interpersonal Communications",525,119074.30095238096
Medical Records,524,102632.36450381679
Bash (Scripting Language),523,122612.51625239005
Java Platform Enterprise Edition (J2EE),523,122435.74187380497
Management Reporting,523,115038.70363288719
IT Security,522,118692.1264367816
Analytical Techniques,522,112302.12260536398
MongoDB,521,127340.80806142035
Digital Subscriber Line,519,113449.7591522158
SAP Supply Chain Management (SCM),515,153382.16699029127
BigQuery,514,119602.13424124513
Team Building,514,122332.78404669261
Textiles,513,129994.78752436647
Interoperability,513,126059.28265107212
Business Process Analysis,512,118380.802734375
"
  Data Modeling",512,115408.041015625
"Data Entry
",512,86011.46484375
Business Continuity,511,125291.16438356164
Integrated Business Planning,508,123362.61614173229
Benchmarking,507,125907.64299802762
Medicare,507,101004.47140039448
Self-Awareness,504,124893.21428571429
"
  Dashboard
",503,106914.1073558648
Azure Data Lake,501,116444.45508982036
"Presentations
",500,115960.9
Spring Boot,498,123357.1686746988
Analytical Dashboard,498,110667.81526104418
Service Level,497,112122.02615694165
Demand Planning,497,128417.30181086519
Azure Databricks,495,119977.14747474747
"Operating Systems
",495,114637.47272727273
"Customer Service
",495,112700.16161616161
Structured Query Language Procedural Language (SQL PL),493,115886.67748478701
Vendor Management,492,124886.62804878049
Feasibility Studies,492,122070.67276422764
Technical Writing,491,117582.45213849287
"
  Wireless Communications",491,115633.01018329938
"Middleware
",489,124206.89775051124
Milestones (Project Management),489,118555.05112474438
"
  Healthcare Industry Knowledge",488,117693.67008196721
Expectation Management,488,132722.0143442623
Enterprise Performance Management (EPM),487,129314.30595482547
"Team Performance Management
",486,113509.57613168724
Test Automation,485,120963.18144329896
Reengineering,484,125142.86776859504
DevSecOps,482,139596.8091286307
Strategic Roadmaps,478,134397.85355648535
Business Intelligence Reporting,476,109140.24159663866
Spring Framework,475,128160.32210526316
SAP Governance Risk And Compliance Analytics Software,475,120895.40210526316
Simple Object Access Protocol (SOAP),475,127237.49263157895
Material Requirements Planning,475,119276.67789473684
SAP NetWeaver Business Warehouse,473,119905.64482029599
Revenue Cycle Management,473,114356.51797040169
Cloud-Native Computing,473,145543.35095137422
Ansible,472,137486.20127118644
Business Process Automation,472,124506.08898305085
Data Access,472,115724.96610169491
Splunk,471,129633.37579617834
Informatics,471,106804.06581740976
Typing,471,103565.3949044586
"Enterprise Application Software
",470,133294.33404255318
Mitigation,469,128450.60554371001
Resource Allocation,469,133261.24946695095
Test Data,469,121632.4776119403
Go (Programming Language),468,125539.2094017094
Transaction Data,468,112892.92094017094
"New Product Development
",467,121483.19700214133
HTML5,465,117340.95483870967
Reference Data,463,115356.23326133909
Lean Six Sigma,462,121477.28138528139
User Interface (UI),461,119594.95878524946
"Balancing (Ledger/Billing)
",461,119022.9284164859
Business Requirements Documentation,460,115447.73913043478
Product Roadmaps,459,132833.93681917212
Design Thinking,459,134435.01525054467
End-User Training And Support,458,115691.63755458515
"
  Proactivity",458,111958.29694323144
Statistical Packages,457,110664.68271334792
"
  Milestones (Project Management)",457,116053.25164113786
"Customer Relationship Management
",457,131679.8271334792
Resourcefulness,457,109891.50547045952
"Dashboard
",450,104818.69333333333
Information Technology Operations,450,118695.52444444444
"
  User Experience (UX) Design",450,115170.7311111111
SAP Ariba,449,122118.76391982182
